1,2,3,4,5,6,보너스,합계,최소값,최대값,평균값
35,36,37,41,44,45,30,238,,,
7,10,19,22,35,40,31,133,,,
15,20,23,26,39,44,28,167,,,
6,14,18,26,36,39,13,139,,,
4,8,11,18,37,45,33,123,,,
5,6,24,25,32,37,8,129,,,
8,14,18,30,31,44,15,145,,,
8,14,32,35,37,45,28,171,,,
19,24,27,30,31,34,36,165,,,
1,2,8,18,29,38,42,96,,,
4,10,14,19,21,45,9,113,,,
1,2,4,8,19,38,14,72,,,
1,2,6,16,20,33,41,78,,,
2,18,24,34,40,42,5,160,,,
13,15,27,29,34,40,35,158,,,
14,21,23,32,40,45,44,175,,,
2,15,20,21,29,34,22,121,,,
5,9,17,25,39,43,32,138,,,
1,5,11,12,18,23,9,70,,,
1,10,13,16,37,43,6,120,,,
